upon, and are calculated,produce delay and suspicion. Hence my ,,,,
of course, leave him,decide whether his instructions or his duty ,,,,
my despatches, and convey them,the Gvmt. of the Commodore, ,,,
further advantage of Shewing,the public that the Gvmt. are enter- ,,,,,
taining some arrangement with me, and willing pro tern,be on ,,,,
ought,get all I shall ever get in a month ; less, if unsuccessful ; and, ,,,
perhaps, more, if we have,adjust a Treaty, or Truce, either of ,
proper,confide,me, wait a reasonable time, according,circum- ,
stances, and endeavour,carry out my instructions, (unless the door ,,,
President and the Department I have the honor,address. ,,,,,
I hand you a Copy of my letter,Com. Moore; but it is very ,,,,,
doubtful if it reaches him, tho' I shall endeavour,effect the object, ,,,
Escursion,the Island.^ Herewith is a few lines,him, yet I refer ,,,
him,this Communication for information of my positicm. ,,,,,
I have the honor,be very respectfully, ,,,,
recent official advices from that Govt, deems it his duty,submit to ,,,,
either direct or indirect, with the forces which in opposition,the ,,,,
more taken the most active measures,prevent the enlistment of ,,,,,
Texian Volunteers under said chiefs, as is already known,the ,,,,
Govt, of Mexico. If it has not been entirely able,prevent this ,,,,
evil, it has,a great extent lessened it, and, at least, manifested, by 
its efforts, its disposition,avoid any just cause of offence,Mexico. ,,,
Agent of Texas in Mexico, without having been able thus far,give ,,,,
country but,act, for the present^ merely on the dsfensive^ to pre- ,,,,
ice, nearly a year) but with instructions,the Commander,act on ,,,
the defensive only, and,commit no act of hostility against Mexico, ,,,
It affords the Agent of Texas the utmost satisfaction, thus,be ,,,,
enabled,assure the Govt, of Mexico in the most positive and Solemn ,,,,
would not fulfil his obligations,the Govt of Texas, nor his duty to ,,,,
himself, if he omitted,State the Evils of which the Govt, of Texas ,,,
the Govt, of Texas feels they cannot any longer submit to ; and this, ,,,,
probably, is another reason for sending an armed force,the lines, ,,,
and without the limits of Texas, to commit hostilities and depreda- ,,,,,
tions against the people of Texas. This is calculrted,keep the ,,,,,
Govt, to keep a respectable force of mounted Rangers traversing the ,,,,,
with much expense,the Govt, and, as in the former case (as the ,,,
which they think they ought,be exempt; at least during the ,,,,,
neutral and friendly attitude, she has heretofore, and up,the present ,,,
time, continued,observe. ,,,,
The Agent dismisses this topic, which he has referred,reluctently, ,,,
to avert the continuance of the evils adverted to. ,,,,,,
stated, together with what was previously known,the Govt of ,,,,
pacific declarations: That it prefers Peace,V^ar: That it desires ,,,,,
than a resort,further hostilities : That the sacrifices she has already ,,,,,
made,secure the blessing of peace cannot be ccMitinued indefinitely : ,,,,,
and finally that it is for the Govt, of Mexico now,decide what shall ,,,,
are exposed,be captured by the Texian Squadron, now in the ,,,,
can therefore proceed,sea as heretofore without any ri^ of Cap- ,,,,,
its waters Say the Roadstead of sacrificios,the Texian Vessels of ,,,,,
Squadron,avail of this offer, and thus allay all aprehension of ,,,,
observations,the omsideration of the Presidoit of Mexico, with ,,,,
them to. ,,,,,,
Treat,Moore. ,,,,,
On the 13th. inst. I had the honor,receive a despatch from the ,,,,,
la on file also part of tlie copj actnallj inclosed by Treat,Ltpacomh. ,,,,,
Beside the method of conveying my advices,you pointed out in ,,,,,
mate voiage, by taking despatches,be delivered at Sea, and perhaps ,,,
persuaded, would, in most instances, object,it, and Capts would ,
ficulties,contend with, in sending in letters,me under cover,the ,,
to you, or,the Gvmt. were highly important, would be,send out ,,
to a continuance of peaceable relations. If for instance, I wished to ,,,,,
should manage,find you, or one 'of your Squadron, if then in the ,,,
them remain,recieve any thing that I may be able,send you, I am ,,,
left,conjecture. ,,,,,
being suspended, owing,the uncertain position of the Ministry, ,,,
27th. of the Month, when it was quelled by the Grovmt. which up to ,,,,,
to be able,proceed with my business. Hence I cannot at this ,,,,,
I hope however in the course of about a week I shall be able to ,,,,,,
will he favourable,the continuance of peaceful Relations between ,,,,,
much,keep up a communication with you during your stay in this ,,,,,
me such further information as will better enable me,execute my ,,,,,
advised of my progress, up,the -fin^ issue of my mission.- ,,,,
I send you this by the English Packet, to sail from Vera-Cruz ,,,,,
send forward, by the first of your Vessels that may be going,Gal- ,,,,
If it misses you^ all will go,the Department of State. If you ,,,,,
send my despatch,N. Orleans Please place it under cover,your ,,,,
Consul,be forwarded immediately. This, my dear Sir, is ihe best ,,,
course I can adopt,endeavour,reach you. ,,,,
return,Vera-Cruz of two Mexican Vessels on the 9th. inst which ,,,,,
advices from Gvmt. I have not hesitated,assure this Government ,,,,,
were open and pending. This was necessary or expedient,allay ,,,,,
the Mexican Vessel,which I have replied that if any thing had been ,,,,,
waters, I would invite you,send in one of your Vessels,Sacri- ,,,
I get a favourable reply^ further advise you (if I can manage,get ,,,,,
a letter,you) when^ in view of what I shall then inform you, you ,,,,
shall be the better able,send you my advices^ which I will Endeavor ,,,,,
Treat,Lamar.* ,,,,,
[Inclosing duplicate of letter of August 11, and referring Lamar to ,,,,,
contents of letter of August 21,Lipscomb.] ,,,,,
Treat,Lipscomb.* ,,,,,
to William Harpur, of New Orleans, who was reported,have been ,,,
Moore,Treat.* ,,,,,
Your letter of the 21st. inst. came,hand this morning by the ,,,,,
afternoon; I wUl despatch the Schr. San Jacinto tomorrow to ,,,,,,
yours,me agreeably,your request. ,,,,
hut has not captured any Vessel nor attempted,do so ; she chased ,,,,,
chase was instantly abandoned,prevent injury,the Mexican ,,,,
I would have written,you myself sooner but supposed that the ,,,,,
will acknowledge us at once, which it is certainly her interest,do. ,,,,
Moore,Pakbnham.Â« ,,,,,
[Inclosing Moore,Treat, August 26 1840,,,,
I send by the same Vessel that takes this,Galveston a letter to ,,,,,
you and two,the Honble A. S. Lipscomb from Mr. Treat our ,,,,,
Agent in Mexico; also a full report,the Honble the Secretary of ,,,,,
By reference,my report you will see the disposition of tiie Fed- ,,,,,
soon made,feel is ours already, viz our perfect Independence of ,,,,
they are made,feel it. ,,,,,
sel can be captured that dare put,sea, and their whole Sea Coast ,,,,
whoever he may be, to reap all the advantages of your efforts ; no'w ,,,,,
is the time,push them for they never were so prostrate ! ,,,,,
Moore,Lipscomb.^ ,,,,,
Mr. James Treat bearing date 21st Aug and enclosing two letters to ,,,,,,
you and one,his Excellency the President, which are herewith ,,,,
Bernard,be sent in by the first opportunity and made sail at once ,,,,,
in the direction of Galveston on my way,the Brazos De Santiago, ,,,,
are all written,send her on with them and meet me again off Point ,,,,,
that we will never bring the Mexican Government,terms by Treat- ,,,,,
ing his despatches out, if his negotiations are still,"be kept "" open "" ",,,,
mitted,Cruize off and close,the Castle of St Juan de Ulloa; and ,,,,
Capts of merchant Vessels,take charge of a letter for me as the ,,,,,
not having,pull more than four or five miles. ,,,,,
noying their Sea Coast ; which we can do with our Naval force, to at ,,,,,
can be forced,keep them ; â€” ^The whole history of their negotiations ,,,,,
By my report,the Honble the Secretary of the Navy which goes ,,,,,
of Yucatan are, or profess,be our Friends; at all events their Ports ,,,,
are open,any Texan Vessel and they are anxious for the co-oper- ,,,,,
I have the honor,be ,,,,,
Memorandum Communicated by Treat,the President or ,,,,,
Treat,Lipscomb.* ,,,,,
which is already on its way. I then had the honor,inform You of ,,,,,
had under date of the 19th. of August, submitted,this Gvmt. ,,,,
â€¢ September 5 1840,,,,,,
letter, which I addressed,Commodore Moore, to aU which I beg ,,,
leave,refer the Department and the President. ,,,,,
The letter,the Commodore, I have good reas&lt;Hi,think, readied ,,
I had time,avail of her. No foreign Merchant Vessels had arived ,,,,,
A brief Sketch of Events which interest and relate,my Mission ,,,,,
The Extraordinary Powers on which the Government relied to ,,,,,,
that Congress have power,grant, they ask from that body; and ,,,,
of Congress, but that the Conservative power will refuse,accede, ,,,
on its party,the call of Government supported by Congress. How- ,,,,,
without the others refered to, the Gvmt. will go on, and Ministers ,,,,
is one authorizing gvmt. to borrow the Sum of Six million of Dollars ,,,,,,
to preserve the integrity of the National territory; to reorgamze a ,,,,,,
The project of Almonte,raise ways and means, to carry on the ,,,,
War by a direct contribution [which was] presented,the Chambers ,,,,,
the Deputies and went,the Senate, where I supposed, after three ,,,
against Texas, and urging the Gvmt. to prepare for hostilities ,,,,,
indisposed many persons, who were inclined,some arrangement ,,,,
proved (as he insisted â€” ) to have been committed by one of our ,,,,,,
mainly, as I thought, to justify further delay on the part of Gvmt. in ,,,,
urging the main Question submitted,Congress,some prompt ,,,,
had gone,the Chambers, and thence,the C&lt;Mnmittee on Texian ,,,
these assurances were not true^ and came at once,the conclusion ,,,,,
that Either Gvmt did not intend,bring forward the question of ,,,,,
to bring the matter,a point, and made up my mind that I would ,,,,
Seriously^ and proceed,a friendly negotiation. Hence my second ,,,,,
Memorandum, dated 5th. Inst, and delivered,the Secretary this ,,,
This will go,Congress forthwith, and it remains,be seen ,,,
To wit: that my policy was,carry through, and,some final issue ,,,
my present pending Negotiations, before presenting,the Gvmt ,,,,
They having refused,listen,my propositions for Peace, Recog- ,,,
Suggest, as the only possible way now,avoid them, a proposal of ,,,
Armistice,me, and thus, by way of an apparent Suggestion of his ,,,
would be almost certain,be rejected without due Consideration. ,,,,,
It is therefore my intention,adopt the course. So Soon as I can ,,,,,
bring the other Matter,a point; and if the Gvmt. entertain the ,,,,,
it will not require long,arrange the matter; and if they declinoe it ,,,,,
I shall proceed,Vera Cruz, and then,New Oris, direct, if ,
proceed forthwith,Gralveston, where I shall hope,find a Com- ,,,
regards myself. Should I be able,meet any of the Vessels of the ,,,,,
or make Every EflFort,get a letter,him. ,,,,
Again refering the President and Department,the papers herein ,,,,,
I have the honor,be with great Respect, and the highest Consid. ,,,,
ment of Texas once more begs leave, most respectfully, to address the ,,,,
deems it his paramount duty,endeavour, so far as possible, to ,,,
In the first place, the agent begs leave,refer,his Memorandmn, ,,
ham, and now has the honor,State, in dlZ good faith and with ,,,
The Agent is unwilling,believe that any of the acts attributed ,,,,,
President, or his Cabinet, any change, unfavorable,an amicable ,,
Squadron,Campeche should give rise,any complaint on the part ,,,,
right,do, without at all affecting her friendly negotiations with ,,,,
Vessel, the Agent regrets,say, that this charge raay he true, and yet ,,
he is strongly inclined,believe that, if Compensation was not re- ,,,,
reasonable,inculpate the Government of Texas, in a matter so ,,,,
Value of the property, and satisfactory explanation,the Govern- ,,,,
Agent pledges himself, the Government of Texas will be prompt to ,,,,,
modore Moore has acted up,the present time, viz. Not,make ,,,
that the Government of Texas should approve the act alluded to, ,,,,,
the Congress of Mexico, to listen,the propositions which the Gov- ,,,,
ernment of Texas, through its Agent, has authorized,be made; and ,,,
She has so constantly and so earnestly sought,avert. ,,,,,
The Agent would not omit,observe that he has seen with regret, ,,,,
diflBculty which the Government has since had,contend with in ,,,,,
Agent is compelled,say that he has very nearly exhausted all the ,,,,,
gards prolonging his Stay in Mexico, and especially since up,the ,,,,
present mroment he has not been officially authorized, to make a single ,,,,,
declaration of a favorable character,that Government. ,,,,,
gress tends clearly,the supposition that hostilities are preparing ,,,,,
tantly, to State that he hopes and expects that on or before the 18ih ,,,,,
inst. H. E. the President will be enabled,give some official or ,,,,,
actual intentions of the Government,enter forthwith upon an ,,,,,
imperative duty,ask most respectfully for his passport, and with- ,,,,
be annexed,the antecedent documents in relation,the same ,,,,
most respectfully submits the foregoing remarks,H. E. the Presi- ,,,,,
I have the honor,acknowledge the Receipt of your despatches ,,,,,
of the 11th,21st August which came,hand, through Commodore ,,,
dent. And I have the satisfaction,assure you, that he fully ap- ,,,,
this reaches you, that, you may have been able,effect a favorable ,,,
Government,interpose unnecessary delay, not resulting from the ,,,,
Agency,a close. ,,,,,
One of our vessels of War, will be ordered down,Vera Cruz, for ,,,
the purpose of conveying,you this despatch, and should you be ,,,,
able,effect the arrangement referred,in your last, to remain and ,,,
event we shall expect,hear from you very soon; if not, you will ,,,,
have,avail yourself of the best means that may be presented in ,,,,,
I have the honor,be, with great respect '' ,,,,
Agent or Texas [Treat] to Secretary of State of Mexico ,,,,,,
Canedo,Pakenham.^ ,,,,,
Treat,Lipscomb.* ,,,,,
assurances â€” ) that it is very difficult,rely on anything whatever. ,,,,,
inst. â€” ) the course I then proposed,adopt,close my mission. ,,,,
I beg leave now,refer You,the papers herewith ; say : a copy of ,,,,
my last of 7th. inst., dupl : Memorandum of paper sent,Govt., dated ,,,
â€¢ ** Memorandam,** dated September 21 1840,,,,,
Â» September 26 1840,,,,,,
* September 26 1840,,,,,,
indemnity for certain limits,Â® to be hereafter fixed, the particulars of ,,,,
Pending the answer,my note of 21st inst, Mr Pakenham took oc- ,,,,
casion,suggest the idea of an armistice,Mr. Caiiedo, the Secretary ,,,
of State, as the only means then left,avoid a conflict with Texas, ,,,
to arrange an armistice, and was disposed,do so, they would re- ,,,
ceive proposals, and act promptly upon them. I offered,receive ,,,,
was authorised,present the proposals I should authorize him to ,,,,,
make,this Gvmt. I prepared a paper in accordance with the ,,,,,
sions of the Cabinet, without authoriziiig the Secretary of State to ,,,,,
stood until this day, when the Secretary of State delivered,Mr ,,,,
Pakenham my Passport and an official Note referring,my Affairs, ,,,,
solved,quit office the next day, and hence was willing and probably ,,,,
preferred,despatch my general Mission, in the way already stated, ,,,
cessor. As it was Entirely useless, imder the circumstances, to press ,,,,
of an Armistice, and had, and would continue to, advocate it, and, if ,
Almonte would take the Matter up in earnest, and endeavour,carry ,,,,
any thing will grow out of it, as the Cabinet is falling,pieces ,,,,
gradually. A Mr Gutierrez Estrada, who was expected,suc- ,,,,
over, ad interim, to the Minister of the Interior, Mr Marin who is a ,,,
into his Views, even were he so disposed, is a Matter,my mind very ,,,
I therefore presume I shall be on my way down,Va. Cruz by the ,,,,,
and Shall write him to-morrow in reply by Dupl: and inform him of ,,,,,,
that I hope,find one of his Vessels at the Bendezvous. ,,,,,
I send this, and enclosures cited,Com: Moore,forward as ,,,
If contrary,my Expectations, any thing favourable would result ,,,,
work of it, and convey it,Texas,be submitted for ratification. ,,,
marcation, they do not Seem,like^ and I cannot see that any other ,,,,
can be assented,advantageously. ,,,,,
I have the honor, sir, to be, with the greatest respect, and consid- ,,
The notes referred,in this letter of dates 21st. and 25th. Septan- ,,,,,
ernment of Texas begs leave,address the Hon the Secretary of ,,,,,
to Vera Cruz, where he proposes,embark, so soon as opportunity ,,,
The paper which the Agent last had the honour,present,the ,,,,
from Mexico, pursuant,his instructions, Unless he could receive ,,,
dition of the files," that the *' notes referred to "" were both inclosed ; bat since each waa ",,,,,
Government,listen tOy and act upon^ the friendly overtures of the ,,,,,
of the Govmt. of Mexico towards Texas, or even of its disposition to ,,,,,
tantly,adopt the Course which he proposed in his last named ,,,,,
The Agent on this occasion is impelled,express his deep regret ,,,,,
that after so long a Stay in the City of Mexico, he is obliged to ,,,,,
fully authorized; but even without having been able,present ,,,,,
instructed,make, or,convey a single act or declaration which ,,,
tutional advisers be Surprized,learn that after Nine Months ma- ,,,,,
ment of an Ex-Colony,the Mother Country, for its Consideration. ,,,,
and Views of the Governmt he has the honor,represent, it woidd ,,,,
be quite superfluous now,enlarge upon the Subject. ,,,,,
State will have the goodness,furnish him, or, (if that be objection- ,,,
position and good offices have been resorted,and freely rendered ,,,,,
will refer to (in such terms as the Hon the Secretary of State may ,,,,,,
Mission of the Said Agent,the Governmt of the Republic of ,,,,,
The Agent begs leave,present,the Hon the Secretary of State ,,,,
his regard and consideration, and through H. E. to H. E. the Presi- ,,,,,
2d. The Armistice,continue for three or four Years, and Six ,,,,
months previous notice,be given, by Either of the Parties, before ,,,
Rio Bravo del Norte, they shall forthwith return,the right side ,,,,
Side of Said River, to return forthwith,the left side; and it is ,,,,
4th. Both parties,engage,do all in their power,prevent ,,,
be necessary,carry the foregoing into full effect, and secure to ,,,,
This arrangement, if concluded^ to be ratified by Mexico, and for- ,,,,
warded without delay,the Govmt. of Texas for its constitutional ,,,,,
Pakenham,"Treat."" ",,,,,
Treat,Moore.^ ,,,,,
Treat,Moore.* ,,,,,
Treat,Lipscomb.** ,,,,,
â€¢ September 29 1840,,,,,,
â€¢September 30 1840,,,,,,
^ October 6 1840,,,,,,
efforts, has been finally settled in a manner entirely satisfactory to ,,,,,
About the Middle of September, Mr. Pakenham presented,this ,,,,
on the part of the Government,reconcile, and arrange matters with ,,,,
I am Satisfied that the Govemmt. were compelled,Meet all his ,,,,,
days longer, to endeavour,ascertain if anything can be reasonably ,,,,
down myself by the 10th. to the 15th inst. I shall write him again ,,,,,,
him, and hence I have not sent,him despatches for your Depart- ,,,,
Pardon the haste with which I have the Honor,subscribe myself, ,,,,
Treat,Pakenham.Â« ,,,,,
Treat,Pakenham.^ ,,,,,
Treat,Pakenham.&lt;^ ,,,,,
Pakenham,Treat,* ,,,,
Pakenham,Treat.* ,,,,,
Moore,Satas.' ,,,,,
Satas,Moore.*' ,,,,,
Wright,Bee.* ,,,,,
â€¢ October 10 1840,,,,,,
* October 14 1840,,,,,,
Â« October 14 1840,,,,,,
' October 14 1840,,,,,,
â€¢ October 15 1840,,,,,,
t October Id 1840,,,,,,
f October 17 1840,,,,,,
* October 17 1840,,,,,,
Treat,Lifsoomb. ,,,,,
I have the honor,inform you that this government, having ,,,,
I have the honor,be ,,,,,
Lepucher,Amory.* ,,,,,
Wright,Amory.* ,,,,,
Pakenuam,Treat.* ,,,,,
Treat,Lipscomb.* ,,,,,
and make the best of my way,N. Orleans, or Galveston, as the case ,,,
Â» October 17 1840,,,,,,
Â« October 21 1840,,,,,,
who seek for power, have increased,such a degree that Every thing ,,,,
seems,threaten a dissolution of the present order of things. ,,,,,
bold enough,advocate, under his own Signature, and in a laboured ,,,
pamphlet, within the last few days, A return,a monarchy under A ,,,
obtained from Congress authority,negotiate a loan of two Millions ,,,,,
Two thirds of this amt. is appropriated exclusively,the creation ,,,,,
of a Navy, and other Expenses incidental,the Campaign against ,,,,
for the Loan, and,furnish the Gvmt., by the 1st. of May next, with ,,
compelling Arista,return from the frontier, where he was mardiing ,,,,
to receive the wishes of the President, whether he desires,See me ,,,,
at the Capitol, where I shall be most happy,proceed, and make in ,,,
will permit. // not^ I shall not fail,advise the department immedi- ,,,,,
Be pleased,present my respects,Gen. Lamar, the President, ,,
I have the honor,be. Sir, with the highest respect, and great ,,,
Moore,Tmiat. ,,,,,
directed,Her Brittanic Majesty's Minister at the City of Mexico, ,,,,
I have been anxiously expecting,hear from you since yours of ,,,,,
Brig on the Reef about four miles,the Nd of us, and after very ,,,,
(to which port they were bound) with all their Baggage. ,,,,,,
I refer you,the Tampico paper of the 17th. inst : ,,,,,
necessary that I should inform you that agreeably,my instructions, ,,,,
off in consequence, you will find a Vessel off Point Mariandrea to ,,,,,
convey you,Texas, for fr(Mn this day any Mexican Vessel, that I ,,,
I send you Copies of a letter from me,the Capt : Genl. at Tam- ,,,,,
pico and his reply in relation,the Brig Segunda Fama. ,,,,,
This wUl be handed,you by Captain Pablo Alcedan of the Mexi- ,,,,,
"can Brig "" Segunda Fama â– ' from Vera Cruz bound",Tampico with ,,,,,
made,save the lives of those on board â€” one of the Boats of this ,,,,,
of procuring a Launch,take the Passengers, and every thing they ,,,,
pleased,permit,come out for that purpose, will not be molested ,,,
I refer you,him and every other person who was on board of the ,,,,,
Brig, as,the mode of treatment which your Countrymen whose mis- ,,,,
fortune it was,be shipwrecked, and thus,fall into our hands, have ,,
it was in our power,give them. ,,,,,
I have the honor,be ,,,,,
Packenham,Treat.* ,,,,,
Amory,Lipscomb.* ,,,,,
In despatch No. 59 accompaning this, I have alluded,a letter ,,,,
person on a separate sheet,*' to be kept apart, (as well as the copy of ,,,,
â€¢ NoTcmber 5 1840,,,,,,
"Â« This letter Itself is evidently the "" separate sheet ** referred to. For additional In- ",,,,,,
against him) profess,beleive him guilty of all manner of crime. ,,,,,
language. My interest in a person who was perhaps unfriendly to ,,,,,,
Texas, at least,many Texans, proceeded from the Conviction that ,,,
my own opinion, to state that of others essentially differing. Of my ,,,,,
of success. I should desire,have the proposition sent through me, ,,,,
in order,bind him more closely,a faithful discharge [of his ,,,,
duty], by a solemn pledge,me personally â€” who have always be- ,,,,
I shall of course be much gratified,contribute,the attainment ,,,,
any suggestion you may do me the honor,submit â€” ,,,,,
in an official capacity and from that moment had proposed,write ,,,,,
by the first opportunity, but having nothing of interest,communi- ,,,,
will ensure your fo warding my views. I was opposed,the Tex- ,,,,,
instructed,act I may avail myself of a favorable opportunity to ,,,,,
not be discussed, it is too obnoxious,the mass of the people. It ,,,,
the federal) to take the step, a bold one indeed, and then the opposi- ,,,,
tion bribe into silence, but bribery is the last thing,be resorted to, ,,,
Premier who seems not averse,the Idea of a Recognition but ,,,,,
recommends utter silence on the subject, not,awaken the opposi- ,,,,
friendship. Your letters must be directed,me here and not,a ,,,,
Commercial House, and let your style be so ambiguous as not to ,,,,,
I am happy,inform you that your favor of August 19th came ,,,,,
safe,hand last week, in which I learn that Col Bee was in the ,,,,
south on a visit,his family. In said letter I am informed of my ,,,,,
Â» This probably refers,Santa Anna ; and ** his Premier'* was doubtless Almonte. ,,,,,
dieted, but owing,tlie many impediments encomitered by the ,,,,
to this coimtry being,remit,the Government truths and not ,,,,
useless,dally with this Government relative,the Recognition of ,,,,
nothing,do, or say directly or indirectly relative,the Recogni- ,,,
and pass thence,Galveston or New Orleans. Let those interested ,,,,,
Million and a half,be appropriated forthwith for the purchase of ,,,,,
your intentions are,fight on the offensive. Mexico will never be ,,,,,
weaker than she is now, owing,her internal disputes. If you ,,,,
procrastinate, you will have,encounter a much greater force on ,,,,
considered a Robber having,live by depredations ,,,,,
I am enclined,believe he feels uneasy. The Government I believe ,,,,,
expected here in a few days, and I learn by a letter of his,a friend ,,,,
which I obtained a view of, he is,take the Presidential Chair, while ,,,
Grande marches into Texas. This is generally believed,be the ,,,,,
this city are still holding meetings, and have made attempts,rise, ,,,
Country in order,be in the centre of news, as the enemy will be cut- ,,,,
abled from time,time,give information of their proceedings. ,,,,
You will in the meantime please continue,direct,Vera Cruz, as ,,,
I shall inform the house * where,send your letters for me. ,,,,,
Col Bee,give such Items as he may think proper and useful, as I ,,,,
shall be able,pass through their very camp, having made friends ,,,,
War San Antonio on our passage,this Port, it has become my duty ,,,,
not only,inform Your Excellency of the Sad occurrence, but also ,,,,
ments relating,his mission. ,,,,,
It was my intention on my arrival here,have set out immediately ,,,,,
nessed, so that I have been compelled,abandon the idea for the ,,,,
present; and this delay while it tends,my recovery, will allow me ,,,,
time,receive here your answer, as also,await your commands, ,,
should you deem it expedient for me,present myself therej in order ,,,,,
to explain,you verbally every thing relative,Mr. Treats official ,,,,
â€¢Eliot and Snyder, who transmitted mall,Bee's correspondent. Of. Confidential ,,,,
correspondent In Mexico,Bryan, December 25 1839,,,,
in Mexico,Bee, February 5 1840,,,,
Having nothing more of importance,communicate for the ,,,,,
present, it only remains for me,condole with your Excellency for ,,,,
of his existence made every possible exertion,obtain the acknowl- ,,,,,
I have the honor,be, ,,,,
No. 1â€” Mr. Treat,R. Pakenham, Oct: 10 1840,,,,
No. 2 Same,"Same 2 Letters "" 14. "" ",,,,,
No. 3. R. Pakenham,J. Treat and accompg. papers â€” Sept: 29. ,,,,,
No. 4â€” Same,Sameâ€” 2 Letters 14 and 15 Oct. 1840 ,,,,,
No. 5â€” Same,Same 21. Oct : 1840 ,,,,,
No. 6â€” Same,Same 5 Nov. 1840 ,,,,,
No. 7 â€” J. Treat,E. W. Moore and accompg. copy 6 Oct : 1840. ,,,,,
No. 8 E. W. Moore,J. Treat and accompg. papers. 29 Oct : 1840. ,,,,,
No. 9 J. Treat,A S. Lipscomb Oct : 25. 1840.Â« ,,,,,
N. B. Having thought proper not,be known whilst in this place, ,,,,
communication,me whilst here. ,,,,,
Having closed my mission and about,retire from the country, ,,,,
where all my efforts,bring about a friendly understanding between ,,,,,
â€¢All the inclosures here enumerated follow except Moore,Treat, October 29 1840,,,,
which IB given in the Correspondence with Yucatlln ; and Treat,Lipscomb, October 25, ,,,
avail ; as you Sir, are fully aware, I cannot permit myself,leave ,,,
the Capital, without expressing,you, how much the President and ,,,
to this Government, and,assure you that your efforts and exertions ,,,,
to induce this Government,listen,the friendly overtures prepared ,,,,
ligence and philanthropy induced them,seek a peace even at a ,,,,,
Texas,respond,Mexico, whenever the interests and honor of ,,,
the Country require a resort,arms. ,,,,,
For myself individually^ I cannot find language,express my obli- ,,,,,
In closing my Conununication, I beg leave,present,you, my ,,
drawing from my mission,this Government, without effecting any ,,,,
of the pacific objects contemplated by my instructions, to make known ,,,,,
" Government of Texas be constrained,change its position, and 
 solely with the view of forcing the enemy","make peace."" ",,,,,
In fulfilling this duty I avail myself of the opportunity,express ,,,,,
any document, touching the objects of my Mission,this Govern- ,,,,
ment; but made an official Communication,you on the subject, may ,,,,
I take the liberty,beg of you the favour (if not inconsistent with ,,,,,
State's verbal reply, in relation,the proposals ^f or an Armistice, ,,,
These papers cannot fail,be of interest,the Government of ,,,,
may give you, I have the honor,be. Sir, with great respect and ,,,
I have the honor herewith,enclose,you a copy of a Note which ,,,,
I have received from the Minister for Foreign Affairs, in answer to ,,,,,
a letter which I addressed,His Excellency on the 22d. Inct, enclos- ,,,,
ceding, requesting,be furnished with a Passport,withdraw from ,,,
Mexico, and also expressing your desire,receive from the Govern- ,,,,
termination of your Mission,this country. ,,,,,
Senor Caiiedo's note; but you will perceive that he declines,enter ,,,,,
to your not having confined your propositions,the basis originally ,,,,,
copy of which I transmitted at the time,Gen. Hamilton, and of ,,,,
sovereignty was stated,be an indispensable condition,any ar- ,,,,
presented by you on the 23rd. March last, went directly,solicit the ,,,,
missible, was referred,the Council of State, where the whole ques- ,,,
tion with regard,Texas was made the subject of more than one ,,,,,
Seiior Caiiedo and myself, relative,your Mission and the propo- ,,,,
sitions presented by you, were submitted,the consideration of the ,,,,
Congress, where, however, the matter appears,have remained ,,
although not confined,the basis originally annoimced by Senor ,,,,,
Canedo, were,all intents and purposes entertained by the Executive ,,,,
branch of the Government, and not, as Senor Canedo would wish to ,,,,
The above explanation will, I trust, serve in some degree,answer ,,,
the purpose of the official communication which you wished,obtain ,,,,,
from Senor Canedo : but I think it necessary,observe,you that, ,,,
as my intercourse with the Government relative,your Mission has ,,,,,
not,be made use of in any manner likely,occasion inconvenience ,,,,
a state of things will prevail in this Country more favourable,the ,,,,,
accomplishment of the object which every well wisher,Mexico and ,,,,,
to Texas must desire,see effected ; and with this expectation I beg ,,,,,
leave,assure you of my continued readiness,attend,any com- ,,,
munications which the authorities of Texas may be pleased,address ,,,,,
to me with relation,that object, and of my earnest desire,be able ,,,
to contribute,the establishment of a friendly understanding between ,,,,,
I have the honor,be, with great regard. ,,,,
I have,acknowledge the receipt of your most obliging letter of ,,,,,
the 10th. Inst, wherein you are so good as,express your sense of my ,,,,
Much as I regret the failure of our joint labours,bring about a ,,,,,
friendly understanding between Texas and Mexico, I request you to ,,,,,
persevering exertion on your part, allow me,record my humble ,,,,
to lead,a favourable issue has been done by you in the execution of ,,,,,
I regret,have,acquaint you that upon communicating with ,,,,
rangement,which you considered yourself authorized by your ,,,,,
Instructions,Subscribe; on the part of the authorities of Texas, ,,,,
I see no prospects of their agreeing,a transaction of that kind ,,,,,
upon terms approaching,those which you would be willing to ,,,,,
accede to. ,,,,,,
authorities; and that, in no case, can they consent,a provisional ,,,
line of demarcation,the Southard, or on this side, of the River of ,,,
I have therefore reluctantly come,the opinion that, under pres- ,,,,
ent circumstances, nothing would be gained by further overtures to ,,,,,
I have the honor,be, ,,,,
I have the honor,acknowledge the receipt of your letter dated ,,,,,
which you act, you are so good as,make known,"me "" that should ",,,
" the Government of Texas be constrained,change its position, and 
 commence offensive operations", it will not be with a view,extend- ,,,,
" with the view of forcing the enemy,make peace. ",,,,,,
I will take the earliest opportunity,communicate this declara- ,,,,,
tion,Her Majesty's Government, who, I doubt not will fully appre- ,,,
I have the honor,be with great resgard. ,,,,,
have sent them by the Post of the day before yesterday, to j&amp;nd you ,,,,,
ing them, and accordingly determined,consign them direct,Vera ,,,
I have written,Mr. Giffard in the sense we agreed upoil, and I ,,,,
